sim,true_beta,n,model,p,n_f,true_beta_f
1,0,25,model1,0.08733486598719015,25,beta = 0
1,0,25,model2,0.4216828251746201,25,beta = 0
1,0,25,model3,0.9068435020570422,25,beta = 0
1,0,25,model4,0.3496164248563358,25,beta = 0
1,0,25,model5,0.9144805826515621,25,beta = 0
1,0,25,model6,0.36259498607272134,25,beta = 0
2,0,25,model1,0.4737338746956009,25,beta = 0
2,0,25,model2,0.966502822648184,25,beta = 0
2,0,25,model3,0.6284533562922834,25,beta = 0
2,0,25,model4,0.6830599965589546,25,beta = 0
2,0,25,model5,0.6521540679231976,25,beta = 0
2,0,25,model6,0.05514868294511231,25,beta = 0
3,0,25,model1,0.5475886578587492,25,beta = 0
3,0,25,model2,0.7401533591810873,25,beta = 0
3,0,25,model3,0.047935518888658796,25,beta = 0
3,0,25,model4,0.5168927827391772,25,beta = 0
3,0,25,model5,0.3707427573127302,25,beta = 0
3,0,25,model6,0.7982080205830364,25,beta = 0
4,0,25,model1,0.6754022150504198,25,beta = 0
4,0,25,model2,0.18128661120770778,25,beta = 0
4,0,25,model3,0.2890585524957519,25,beta = 0
4,0,25,model4,0.44770319834027206,25,beta = 0
4,0,25,model5,0.3001272614360987,25,beta = 0
4,0,25,model6,0.4984920087781456,25,beta = 0
5,0,25,model1,0.028277831515866922,25,beta = 0
5,0,25,model2,0.6534894934352358,25,beta = 0
5,0,25,model3,0.6020390237726987,25,beta = 0
5,0,25,model4,0.9985116208990179,25,beta = 0
5,0,25,model5,0.25327771632915874,25,beta = 0
5,0,25,model6,0.6191080522339606,25,beta = 0
6,0,25,model1,0.543257050502973,25,beta = 0
6,0,25,model2,0.22125860249700047,25,beta = 0
6,0,25,model3,0.2910465011730723,25,beta = 0
6,0,25,model4,0.5197415865817903,25,beta = 0
6,0,25,model5,0.4650708521328327,25,beta = 0
6,0,25,model6,0.0543674526928651,25,beta = 0
7,0,25,model1,0.8263102972349289,25,beta = 0
7,0,25,model2,0.5172948663393384,25,beta = 0
7,0,25,model3,0.15177694414748738,25,beta = 0
7,0,25,model4,0.7038402048674954,25,beta = 0
7,0,25,model5,0.8981994794784989,25,beta = 0
7,0,25,model6,0.6450647176996915,25,beta = 0
8,0,25,model1,0.10976618275926878,25,beta = 0
8,0,25,model2,0.3876899170422663,25,beta = 0
8,0,25,model3,0.44500224475179717,25,beta = 0
8,0,25,model4,0.8294679279566306,25,beta = 0
8,0,25,model5,0.910765920294498,25,beta = 0
8,0,25,model6,0.9583031177878812,25,beta = 0
9,0,25,model1,0.24516382934970488,25,beta = 0
9,0,25,model2,0.3482813597019321,25,beta = 0
9,0,25,model3,0.36572657900973427,25,beta = 0
9,0,25,model4,0.031776704908087476,25,beta = 0
9,0,25,model5,0.6299655996812261,25,beta = 0
9,0,25,model6,0.9908222872827094,25,beta = 0
10,0,25,model1,0.12780508283595143,25,beta = 0
10,0,25,model2,0.07482101055469784,25,beta = 0
10,0,25,model3,0.7420968835238135,25,beta = 0
10,0,25,model4,0.21620929889524476,25,beta = 0
10,0,25,model5,0.714053992844105,25,beta = 0
10,0,25,model6,0.10707570290835572,25,beta = 0
11,0,25,model1,0.6702966693183735,25,beta = 0
11,0,25,model2,0.7724417701093247,25,beta = 0
11,0,25,model3,0.6256681056683777,25,beta = 0
11,0,25,model4,0.9147115081539658,25,beta = 0
11,0,25,model5,0.5890719678350523,25,beta = 0
11,0,25,model6,0.3009942442327543,25,beta = 0
12,0,25,model1,0.9419228892837607,25,beta = 0
12,0,25,model2,0.010020928998958595,25,beta = 0
12,0,25,model3,0.3404999497329604,25,beta = 0
12,0,25,model4,0.06348443131923714,25,beta = 0
12,0,25,model5,0.7906227199375863,25,beta = 0
12,0,25,model6,0.09582312802215717,25,beta = 0
13,0,25,model1,0.7187565725315302,25,beta = 0
13,0,25,model2,0.9898770326921985,25,beta = 0
13,0,25,model3,0.5282773680316365,25,beta = 0
13,0,25,model4,0.5548220250783433,25,beta = 0
13,0,25,model5,0.6649463771496135,25,beta = 0
13,0,25,model6,0.6258869896304555,25,beta = 0
14,0,25,model1,0.4826549396281974,25,beta = 0
14,0,25,model2,0.9106412047870409,25,beta = 0
14,0,25,model3,0.504598537485489,25,beta = 0
