sim,true_beta,n,model,p,n_f,true_beta_f
1,0,25,model1,0.7291459440879009,25,beta = 0
1,0,25,model2,0.00996351582239598,25,beta = 0
1,0,25,model3,0.7199911249971397,25,beta = 0
1,0,25,model4,0.5759364582081102,25,beta = 0
1,0,25,model5,0.3407919092935435,25,beta = 0
1,0,25,model6,0.004354847269012813,25,beta = 0
1,0,25,model7,0.9149531138027651,25,beta = 0
1,0,25,model8,0.2695567045137892,25,beta = 0
1,0,25,model9,0.5961997677753086,25,beta = 0
1,0,25,model10,0.2381223405557807,25,beta = 0
2,0,25,model1,0.8443049097409137,25,beta = 0
2,0,25,model2,0.46688605231542646,25,beta = 0
2,0,25,model3,0.5518763204614389,25,beta = 0
2,0,25,model4,0.6879632893366345,25,beta = 0
2,0,25,model5,0.14325517569926882,25,beta = 0
2,0,25,model6,0.101974237856721,25,beta = 0
2,0,25,model7,0.513429666670252,25,beta = 0
2,0,25,model8,0.16930010988902436,25,beta = 0
2,0,25,model9,0.7948501922516658,25,beta = 0
2,0,25,model10,0.6395492880791538,25,beta = 0
3,0,25,model1,0.3164250630881492,25,beta = 0
3,0,25,model2,0.7833275949225165,25,beta = 0
3,0,25,model3,0.2210197991004608,25,beta = 0
3,0,25,model4,0.7011378155756633,25,beta = 0
3,0,25,model5,0.16905304751331365,25,beta = 0
3,0,25,model6,0.5393310557628211,25,beta = 0
3,0,25,model7,0.2948309824270511,25,beta = 0
3,0,25,model8,0.6172423443925654,25,beta = 0
3,0,25,model9,0.8349179431338336,25,beta = 0
3,0,25,model10,0.9156885853709289,25,beta = 0
4,0,25,model1,0.2139090416787125,25,beta = 0
4,0,25,model2,0.22570691003133778,25,beta = 0
4,0,25,model3,0.1734434931444011,25,beta = 0
4,0,25,model4,0.7281432698007625,25,beta = 0
4,0,25,model5,0.6075600017301459,25,beta = 0
4,0,25,model6,0.9285654481029361,25,beta = 0
4,0,25,model7,0.007487793024485397,25,beta = 0
4,0,25,model8,0.01541807218714417,25,beta = 0
4,0,25,model9,0.8022634312862892,25,beta = 0
4,0,25,model10,0.7482357024919928,25,beta = 0
5,0,25,model1,0.1265142422894946,25,beta = 0
5,0,25,model2,0.800946776124261,25,beta = 0
5,0,25,model3,0.30665228262829763,25,beta = 0
5,0,25,model4,0.7733114968261797,25,beta = 0
5,0,25,model5,0.2447331086237293,25,beta = 0
5,0,25,model6,0.7362720129833903,25,beta = 0
5,0,25,model7,0.47739044606148473,25,beta = 0
5,0,25,model8,0.7460223040184959,25,beta = 0
5,0,25,model9,0.13259524413103221,25,beta = 0
5,0,25,model10,0.19136086171023675,25,beta = 0
6,0,25,model1,0.8597015040503885,25,beta = 0
6,0,25,model2,0.2428573408282534,25,beta = 0
6,0,25,model3,0.6515387007473956,25,beta = 0
6,0,25,model4,0.3225472531214203,25,beta = 0
6,0,25,model5,0.6970795859786721,25,beta = 0
6,0,25,model6,0.9097721016874776,25,beta = 0
6,0,25,model7,0.07200644513038143,25,beta = 0
6,0,25,model8,0.341028316418314,25,beta = 0
6,0,25,model9,0.010374506918713135,25,beta = 0
6,0,25,model10,0.6437059492967313,25,beta = 0
7,0,25,model1,0.5159520050215656,25,beta = 0
7,0,25,model2,0.6324426327109562,25,beta = 0
7,0,25,model3,0.8827437064994508,25,beta = 0
7,0,25,model4,0.28528166078412953,25,beta = 0
7,0,25,model5,0.5900291030222561,25,beta = 0
7,0,25,model6,0.39851859036407133,25,beta = 0
7,0,25,model7,0.18380977022300846,25,beta = 0
7,0,25,model8,0.9921791665970294,25,beta = 0
7,0,25,model9,0.6270328675368952,25,beta = 0
7,0,25,model10,0.9067426652909547,25,beta = 0
8,0,25,model1,0.28128095817448157,25,beta = 0
8,0,25,model2,0.5111944442890558,25,beta = 0
8,0,25,model3,0.2400061111373225,25,beta = 0
8,0,25,model4,0.3604513670459495,25,beta = 0
8,0,25,model5,0.04709620796080883,25,beta = 0
8,0,25,model6,0.5282218865039877,25,beta = 0
8,0,25,model7,0.38721473473558987,25,beta = 0
8,0,25,model8,0.9480910605949805,25,beta = 0
8,0,25,model9,0.23773567024116599,25,beta = 0
8,0,25,model10,0.25452293423660277,25,beta = 0
9,0,25,model1,0.8096187166273141,25,beta = 0
9,0,25,model2,0.59828746950053,25,beta = 0
9,0,25,model3,0.5855426015092602,25,beta = 0
9,0,25,model4,0.31347250745418415,25,beta = 0
